program_name,n,judgment,probability,threshold,elapsed_seconds,max_state_bytes,max_transition_bytes,max_execution_bytes,full_statevector_bytes
bv_10_sparse,10,satisfied,0.9999999999999954,0.999999,0.017594957003893796,640,768,768,16384
bv_20_sparse,20,satisfied,0.9999999999999986,0.999999,0.04223976999992374,1280,1408,1408,16777216
bv_50_sparse,50,satisfied,0.999999999999997,0.999999,0.3963637000001654,3200,3328,3328,18014398509481984
bv_100_sparse,100,satisfied,0.999999999999994,0.999999,0.709961442000349,6400,6528,6528,20282409603651670423947251286016
bv_150_sparse,150,satisfied,0.9999999999999913,0.999999,1.716541082999811,9600,9728,9728,22835963083295358096932575511191922182123945984
bv_200_sparse,200,satisfied,0.9999999999999886,0.999999,3.051716082999974,12800,12928,12928,25711008708143844408671393477458601640355247900524685364822016
